latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-3.21942,-46.94833,335.2,0.78,0.78,2026-09-23,0342,N20,nominal,2.0NRT,289.11,16.7,N
-3.2206,-46.94152,331.34,0.78,0.78,2026-09-23,0342,N20,nominal,2.0NRT,289.17,16.7,N
-3.22644,-46.95034,367,0.78,0.78,2026-09-23,0342,N20,high,2.0NRT,289.19,16.7,N
-3.22763,-46.94342,355,0.78,0.78,2026-09-23,0342,N20,nominal,2.0NRT,289.68,16.7,N
-3.22526,-46.9572,301.92,0.78,0.78,2026-09-23,0342,N20,nominal,2.0NRT,288.54,10.85,N
-3.22232,-46.9483,367,0.78,0.78,2026-09-23,0342,N20,high,2.0NRT,289.76,15.1,N
-3.22356,-46.94137,354.19,0.78,0.78,2026-09-23,0342,N20,nominal,2.0NRT,289.92,20.87,N
-3.22107,-46.95529,303.37,0.78,0.78,2026-09-23,0342,N20,nominal,2.0NRT,288.94,15.1,N
-3.22937,-46.95006,321.9,0.78,0.78,2026-09-23,0342,N20,nominal,2.0NRT,288.55,15.1,N
-3.23061,-46.94313,325.11,0.78,0.78,2026-09-23,0342,N20,nominal,2.0NRT,288.92,20.87,N
-5.18096,-35.94882,322.47,0.43,0.38,2026-09-23,0342,N20,nominal,2.0NRT,292.25,1.47,N
-9.84004,-46.38887,315.43,0.55,0.68,2026-09-23,0345,N20,nominal,2.0NRT,286.85,5.72,N
-11.29352,-44.03849,304.74,0.36,0.57,2026-09-23,0345,N20,nominal,2.0NRT,286.23,9.63,N
-5.41959,-37.71009,305.63,0.52,0.42,2026-09-23,0342,N20,nominal,2.0NRT,293.63,0.81,N
-5.93508,-35.61936,325.65,0.41,0.37,2026-09-23,0342,N20,nominal,2.0NRT,293.24,2.12,N
-4.83272,-42.87415,314.83,0.39,0.59,2026-09-23,0342,N20,nominal,2.0NRT,291.66,1.35,N
-5.24559,-40.59744,304.82,0.53,0.5,2026-09-23,0342,N20,nominal,2.0NRT,291.83,1.56,N
-5.56475,-42.73109,308.05,0.37,0.58,2026-09-23,0342,N20,nominal,2.0NRT,290.13,1.76,N
-5.57009,-42.7319,327.16,0.37,0.58,2026-09-23,0342,N20,nominal,2.0NRT,292.86,1.76,N
-5.61448,-43.3599,302.61,0.41,0.6,2026-09-23,0342,N20,nominal,2.0NRT,284.29,0.84,N
-5.61937,-43.36453,302.79,0.41,0.6,2026-09-23,0342,N20,nominal,2.0NRT,284.4,1.87,N
-5.62002,-43.36089,304.63,0.41,0.6,2026-09-23,0342,N20,nominal,2.0NRT,284.9,0.84,N
-5.34237,-45.1698,335.82,0.54,0.68,2026-09-23,0342,N20,nominal,2.0NRT,290.58,6.07,N
-5.34324,-45.16489,303.77,0.54,0.68,2026-09-23,0342,N20,nominal,2.0NRT,290.53,7,N
-5.34862,-45.17085,323.03,0.54,0.68,2026-09-23,0342,N20,nominal,2.0NRT,290.85,6.07,N
-5.34948,-45.166,350.15,0.54,0.68,2026-09-23,0342,N20,nominal,2.0NRT,292.11,7,N
-5.34683,-45.16877,367,0.54,0.68,2026-09-23,0342,N20,high,2.0NRT,292.52,7.45,N
-5.34771,-45.16397,341.45,0.54,0.68,2026-09-23,0342,N20,nominal,2.0NRT,292.35,11.38,N
-5.34593,-45.17363,303.51,0.54,0.68,2026-09-23,0342,N20,nominal,2.0NRT,290.5,7.45,N
-5.60333,-44.02769,302.84,0.45,0.63,2026-09-23,0342,N20,nominal,2.0NRT,286.48,0.8,N
-5.60404,-44.02373,301.91,0.45,0.63,2026-09-23,0342,N20,nominal,2.0NRT,286.66,0.8,N
-6.63655,-38.73416,312.21,0.38,0.43,2026-09-23,0342,N20,nominal,2.0NRT,294.42,1.06,N
-6.21901,-41.6805,311.6,0.61,0.53,2026-09-23,0342,N20,nominal,2.0NRT,294.65,5.51,N
-5.61674,-45.25289,367,0.54,0.68,2026-09-23,0342,N20,high,2.0NRT,292.52,24.33,N
-5.61767,-45.24769,352.23,0.54,0.68,2026-09-23,0342,N20,nominal,2.0NRT,295.52,15.79,N
-5.61863,-45.24239,320.51,0.54,0.68,2026-09-23,0342,N20,nominal,2.0NRT,293.26,15.79,N
-5.59443,-45.37661,310.65,0.56,0.68,2026-09-23,0342,N20,nominal,2.0NRT,290.9,1.13,N
-5.59531,-45.3717,303.07,0.56,0.68,2026-09-23,0342,N20,nominal,2.0NRT,290.57,1.13,N
-5.28005,-47.26423,310.9,0.75,0.77,2026-09-23,0342,N20,nominal,2.0NRT,291.41,2.45,N
-5.28125,-47.2576,310.59,0.75,0.77,2026-09-23,0342,N20,nominal,2.0NRT,290.75,2.45,N
-5.27835,-47.25668,304.76,0.75,0.77,2026-09-23,0342,N20,nominal,2.0NRT,290.37,1.55,N
-5.28543,-47.25782,304.3,0.75,0.77,2026-09-23,0342,N20,nominal,2.0NRT,290.7,1.55,N
-5.75544,-45.11263,333.1,0.53,0.67,2026-09-23,0342,N20,nominal,2.0NRT,292.92,25.77,N
-5.60415,-45.95029,317.13,0.61,0.71,2026-09-23,0342,N20,nominal,2.0NRT,292.31,2.26,N
-5.60515,-45.94476,309.29,0.61,0.71,2026-09-23,0342,N20,nominal,2.0NRT,292.89,2.26,N
-5.76072,-45.11872,349.92,0.53,0.67,2026-09-23,0342,N20,nominal,2.0NRT,293.42,25.77,N
-5.7616,-45.11378,354.5,0.53,0.67,2026-09-23,0342,N20,nominal,2.0NRT,299.83,25.77,N
-5.76249,-45.10886,348.56,0.53,0.67,2026-09-23,0342,N20,nominal,2.0NRT,295.5,33.46,N
-5.76778,-45.11485,322.32,0.53,0.67,2026-09-23,0342,N20,nominal,2.0NRT,293.35,2.89,N
-5.76689,-45.11985,314.01,0.53,0.67,2026-09-23,0342,N20,nominal,2.0NRT,292.84,2.89,N
-6.03191,-44.03657,319.86,0.44,0.63,2026-09-23,0342,N20,nominal,2.0NRT,295.21,3.17,N
-5.997,-44.26386,310.81,0.46,0.64,2026-09-23,0342,N20,nominal,2.0NRT,288.48,1.32,N
-5.99769,-44.26001,310.72,0.46,0.64,2026-09-23,0342,N20,nominal,2.0NRT,289.06,1.32,N
-6.38666,-42.28144,316.91,0.33,0.55,2026-09-23,0342,N20,nominal,2.0NRT,290.39,3.28,N
-6.38718,-42.27843,308.44,0.33,0.55,2026-09-23,0342,N20,nominal,2.0NRT,289.49,2.07,N
-6.1374,-43.83981,336.4,0.43,0.62,2026-09-23,0342,N20,nominal,2.0NRT,297.58,8.04,N
-6.13612,-43.84714,309.56,0.43,0.62,2026-09-23,0342,N20,nominal,2.0NRT,297.13,9.71,N
-6.14306,-43.84081,367,0.43,0.62,2026-09-23,0342,N20,high,2.0NRT,298.45,8.04,N
-6.14367,-43.83733,317.09,0.43,0.62,2026-09-23,0342,N20,nominal,2.0NRT,297.3,8.04,N
-6.10083,-44.15103,313.08,0.45,0.63,2026-09-23,0342,N20,nominal,2.0NRT,292.68,1.98,N
-6.1329,-43.84531,307.29,0.43,0.62,2026-09-23,0342,N20,nominal,2.0NRT,296.88,2.46,N
-6.13986,-43.8392,367,0.43,0.62,2026-09-23,0342,N20,high,2.0NRT,301.48,22.28,N
-6.13923,-43.84267,311.49,0.43,0.62,2026-09-23,0342,N20,nominal,2.0NRT,297.37,10.41,N
-6.1004,-44.15358,307.33,0.45,0.63,2026-09-23,0342,N20,nominal,2.0NRT,291.5,1.19,N
-6.10117,-44.14935,308.74,0.45,0.63,2026-09-23,0342,N20,nominal,2.0NRT,292.74,1.19,N
-6.1062,-44.15447,311.8,0.45,0.63,2026-09-23,0342,N20,nominal,2.0NRT,291.89,2.18,N
-6.10699,-44.15013,319.62,0.45,0.63,2026-09-23,0342,N20,nominal,2.0NRT,294.02,2.18,N
-6.37299,-42.79202,310.64,0.36,0.57,2026-09-23,0342,N20,nominal,2.0NRT,285.74,1.06,N
-6.37355,-42.78886,310.47,0.36,0.57,2026-09-23,0342,N20,nominal,2.0NRT,290.23,1.06,N
-6.3741,-42.78572,305.41,0.36,0.57,2026-09-23,0342,N20,nominal,2.0NRT,288.56,1.52,N
-6.1709,-44.12586,317.23,0.45,0.63,2026-09-23,0342,N20,nominal,2.0NRT,291.19,2.57,N
-5.99156,-45.24057,313.37,0.54,0.68,2026-09-23,0342,N20,nominal,2.0NRT,292.21,3.4,N
-5.99245,-45.23558,316.54,0.54,0.68,2026-09-23,0342,N20,nominal,2.0NRT,293.22,3,N
-6.41523,-42.83004,301.34,0.36,0.57,2026-09-23,0342,N20,nominal,2.0NRT,286.5,1.4,N
-6.41578,-42.82686,318.26,0.36,0.57,2026-09-23,0342,N20,nominal,2.0NRT,288.4,2.5,N
-5.99863,-45.23678,312.79,0.54,0.68,2026-09-23,0342,N20,nominal,2.0NRT,292.97,1.94,N
-6.33815,-43.36998,367,0.39,0.6,2026-09-23,0342,N20,high,2.0NRT,292.37,4.45,N
-6.33878,-43.36634,306.13,0.39,0.6,2026-09-23,0342,N20,nominal,2.0NRT,290.65,4.45,N
-5.98949,-45.24353,302.42,0.54,0.68,2026-09-23,0342,N20,nominal,2.0NRT,291.88,1.74,N
-5.99044,-45.23845,317.99,0.54,0.67,2026-09-23,0342,N20,nominal,2.0NRT,293.09,1.74,N
-6.3386,-43.37059,352.03,0.39,0.6,2026-09-23,0342,N20,nominal,2.0NRT,291.71,4.45,N
-6.33926,-43.36695,323.72,0.39,0.6,2026-09-23,0342,N20,nominal,2.0NRT,290.97,4.45,N
-5.99663,-45.2396,311.42,0.54,0.67,2026-09-23,0342,N20,nominal,2.0NRT,292.37,1.74,N
-5.99754,-45.23466,307.76,0.53,0.67,2026-09-23,0342,N20,nominal,2.0NRT,292.41,3.35,N
-6.32346,-43.93839,367,0.43,0.62,2026-09-23,0342,N20,high,2.0NRT,294.26,12.28,N
-6.32416,-43.9344,343.58,0.43,0.62,2026-09-23,0342,N20,nominal,2.0NRT,293.68,12.28,N
-5.77564,-47.15742,324.83,0.73,0.76,2026-09-23,0342,N20,nominal,2.0NRT,295.18,6.61,N
-5.77442,-47.16419,318.26,0.73,0.76,2026-09-23,0342,N20,nominal,2.0NRT,294.12,6.44,N
-6.4257,-43.48617,316.63,0.4,0.6,2026-09-23,0342,N20,nominal,2.0NRT,293,2.1,N
-6.32521,-43.93962,367,0.43,0.62,2026-09-23,0342,N20,high,2.0NRT,291.61,16.53,N
-6.32594,-43.93565,354.25,0.43,0.62,2026-09-23,0342,N20,nominal,2.0NRT,296.64,18.15,N
-6.42515,-43.48737,318.65,0.4,0.6,2026-09-23,0342,N20,nominal,2.0NRT,292.31,2.06,N
