latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
11.74286,-70.20315,306.46,0.57,0.69,2026-09-17,0531,N20,nominal,2.0NRT,287.13,1.55,N
11.63569,-70.24487,320.54,0.57,0.69,2026-09-17,0531,N20,nominal,2.0NRT,287.47,4.73,N
11.63508,-70.23956,330.29,0.57,0.69,2026-09-17,0531,N20,nominal,2.0NRT,288.24,4.73,N
11.62746,-70.2296,367,0.57,0.69,2026-09-17,0531,N20,high,2.0NRT,288.52,42.19,N
11.62685,-70.22432,324.64,0.57,0.69,2026-09-17,0531,N20,nominal,2.0NRT,288.2,25.99,N
11.62112,-70.23065,345.97,0.57,0.69,2026-09-17,0531,N20,nominal,2.0NRT,287.84,8.32,N
11.62051,-70.22536,313.16,0.57,0.69,2026-09-17,0531,N20,nominal,2.0NRT,287.77,6.6,N
10.5628,-62.30975,308.06,0.5,0.41,2026-09-17,0531,N20,nominal,2.0NRT,291.65,2.25,N
10.18167,-61.69149,313.89,0.46,0.39,2026-09-17,0531,N20,nominal,2.0NRT,288.91,2.37,N
10.17808,-61.69204,312.08,0.46,0.39,2026-09-17,0531,N20,nominal,2.0NRT,289.04,1.93,N
10.08652,-62.26138,317.94,0.49,0.4,2026-09-17,0531,N20,nominal,2.0NRT,291.46,0.95,N
10.21551,-64.61678,320.93,0.45,0.47,2026-09-17,0531,N20,nominal,2.0NRT,284.19,2.52,N
10.21121,-64.61739,311.36,0.45,0.47,2026-09-17,0531,N20,nominal,2.0NRT,284.18,2.52,N
9.97761,-63.18338,327.46,0.55,0.43,2026-09-17,0531,N20,nominal,2.0NRT,285.27,3.99,N
9.85617,-63.34148,306.51,0.56,0.43,2026-09-17,0531,N20,nominal,2.0NRT,284.6,1.03,N
9.83189,-63.34011,307.51,0.56,0.43,2026-09-17,0531,N20,nominal,2.0NRT,284.32,0.89,N
