#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-relay-country.csv?start=2026-05-28&end=2026-09-25&country=ve&events=on
#
date,country,users,lower,upper,frac
2026-05-28,ve,13560,6360,18683,69
2026-05-29,ve,12702,7235,16836,71
2026-05-30,ve,11447,7770,16009,74
2026-05-31,ve,11371,6667,16517,72
2026-06-01,ve,13079,7632,21541,70
2026-06-02,ve,10768,4617,21513,88
2026-06-03,ve,13172,4385,26917,71
2026-06-04,ve,12844,8608,18854,72
2026-06-05,ve,13305,7977,18133,70
2026-06-06,ve,12550,7580,17643,67
2026-06-07,ve,12146,7546,15449,70
2026-06-08,ve,15011,7269,19603,70
2026-06-09,ve,14703,7914,18897,67
2026-06-10,ve,12968,7267,20294,67
2026-06-11,ve,11776,7532,18697,69
2026-06-12,ve,11132,5818,20878,68
2026-06-13,ve,10839,6490,17995,69
2026-06-14,ve,10599,6219,18272,71
2026-06-15,ve,13192,9147,21423,70
2026-06-16,ve,12871,9372,20251,72
2026-06-17,ve,12173,9722,16057,71
2026-06-18,ve,11317,7672,14795,74
2026-06-19,ve,11002,7062,14815,72
2026-06-20,ve,10156,7191,13127,72
2026-06-21,ve,9898,7764,12901,68
2026-06-22,ve,11210,9193,16504,69
2026-06-23,ve,11991,8115,17368,70
2026-06-24,ve,10854,8560,15119,62
2026-06-25,ve,14822,6831,13965,64
2026-06-26,ve,28311,6910,13280,60
2026-06-27,ve,26720,6918,13331,59
2026-06-28,ve,22595,6035,12539,60
2026-06-29,ve,21940,7040,14761,60
2026-06-30,ve,19905,8289,15147,64
2026-07-01,ve,16422,6835,11877,69
2026-07-02,ve,16971,9686,19607,65
2026-07-03,ve,16647,16931,33652,70
2026-07-04,ve,16536,15463,31415,69
2026-07-05,ve,15661,13824,27718,70
2026-07-06,ve,16644,12550,26433,69
2026-07-07,ve,17501,12804,23513,66
2026-07-08,ve,15587,10598,20895,64
2026-07-09,ve,14155,5942,21834,67
2026-07-10,ve,13630,7707,21086,62
2026-07-11,ve,13103,6554,20686,68
2026-07-12,ve,13367,6337,20599,66
2026-07-13,ve,15040,5403,23933,65
2026-07-14,ve,14913,6330,24074,65
2026-07-15,ve,13474,7348,19654,71
2026-07-16,ve,12278,7918,18830,74
2026-07-17,ve,11971,7987,18852,71
2026-07-18,ve,11659,8830,17860,67
2026-07-19,ve,11769,8811,17317,67
2026-07-20,ve,13833,9601,20090,66
2026-07-21,ve,13530,4847,27045,64
2026-07-22,ve,12615,3320,28174,68
2026-07-23,ve,12054,4007,26039,68
2026-07-24,ve,11507,4292,25153,71
2026-07-25,ve,11559,5357,22791,72
2026-07-26,ve,11406,4905,23586,71
2026-07-27,ve,12309,7118,24493,69
2026-07-28,ve,12021,8171,21091,70
2026-07-29,ve,12132,8152,18391,72
2026-07-30,ve,12024,7076,18250,70
2026-07-31,ve,11973,6986,18306,64
2026-08-01,ve,11219,8471,16903,66
2026-08-02,ve,10553,7771,14737,69
2026-08-03,ve,10870,7617,15164,73
2026-08-04,ve,10940,7049,15056,74
2026-08-05,ve,10408,7420,15318,73
2026-08-06,ve,10427,7946,15565,72
2026-08-07,ve,10474,7733,14237,69
2026-08-08,ve,9894,7856,13443,68
2026-08-09,ve,9576,7989,12494,69
2026-08-10,ve,10960,8232,14150,69
2026-08-11,ve,11325,7890,14897,66
2026-08-12,ve,10983,6754,14583,65
2026-08-13,ve,10236,6026,14057,67
2026-08-14,ve,9641,6765,12764,64
2026-08-15,ve,8834,6097,12092,68
2026-08-16,ve,8697,6798,11576,71
2026-08-17,ve,9655,6691,13938,72
2026-08-18,ve,9642,8929,13403,71
2026-08-19,ve,9523,7888,14101,72
2026-08-20,ve,9587,5617,16865,71
2026-08-21,ve,9307,6925,14305,73
2026-08-22,ve,8680,5993,13106,69
2026-08-23,ve,8303,6444,12346,73
2026-08-24,ve,9500,6739,14517,73
2026-08-25,ve,10029,6635,13210,71
2026-08-26,ve,9881,6315,13323,71
2026-08-27,ve,10028,6691,13098,69
2026-08-28,ve,9111,6303,12437,69
2026-08-29,ve,8416,6318,11120,72
2026-08-30,ve,8494,6155,10422,72
2026-08-31,ve,9367,6848,12025,71
2026-09-01,ve,10110,7401,13901,70
2026-09-02,ve,9606,6867,14250,70
2026-09-03,ve,8321,7024,12303,75
2026-09-04,ve,8399,6040,11968,75
2026-09-05,ve,7720,5709,10459,77
2026-09-06,ve,8873,4931,12143,73
2026-09-07,ve,9719,3962,15129,72
2026-09-08,ve,8675,6240,13230,66
2026-09-09,ve,7999,5144,11676,71
2026-09-10,ve,8061,5436,10653,70
2026-09-11,ve,8460,6181,10835,68
2026-09-12,ve,8329,4964,11026,67
2026-09-13,ve,8365,5042,11985,67
2026-09-14,ve,9729,4442,15332,57
2026-09-15,ve,9466,3021,16371,56
2026-09-16,ve,9243,4057,14662,58
2026-09-17,ve,9535,4779,14228,58
2026-09-18,ve,9503,4046,15049,59
2026-09-19,ve,9656,4563,15462,57
2026-09-20,ve,8980,4454,15248,60
2026-09-21,ve,9810,3902,18022,55
2026-09-22,ve,9705,5871,14392,53
