#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-bridge-country.csv?start=2026-05-28&end=2026-09-25&country=ve
#
date,country,users,frac
2026-05-28,ve,114,75
2026-05-29,ve,101,83
2026-05-30,ve,99,85
2026-05-31,ve,102,83
2026-06-01,ve,101,80
2026-06-02,ve,99,82
2026-06-03,ve,94,75
2026-06-04,ve,104,84
2026-06-05,ve,101,85
2026-06-06,ve,100,84
2026-06-07,ve,111,85
2026-06-08,ve,116,85
2026-06-09,ve,105,83
2026-06-10,ve,89,78
2026-06-11,ve,100,85
2026-06-12,ve,93,84
2026-06-13,ve,85,83
2026-06-14,ve,87,85
2026-06-15,ve,86,83
2026-06-16,ve,90,81
2026-06-17,ve,86,83
2026-06-18,ve,87,86
2026-06-19,ve,91,85
2026-06-20,ve,84,86
2026-06-21,ve,78,85
2026-06-22,ve,83,82
2026-06-23,ve,87,85
2026-06-24,ve,87,80
2026-06-25,ve,70,83
2026-06-26,ve,80,78
2026-06-27,ve,73,77
2026-06-28,ve,85,81
2026-06-29,ve,86,80
2026-06-30,ve,88,72
2026-07-01,ve,82,83
2026-07-02,ve,78,82
2026-07-03,ve,76,84
2026-07-04,ve,71,83
2026-07-05,ve,77,80
2026-07-06,ve,85,83
2026-07-07,ve,85,83
2026-07-08,ve,87,81
2026-07-09,ve,76,85
2026-07-10,ve,73,85
2026-07-11,ve,65,83
2026-07-12,ve,79,81
2026-07-13,ve,87,82
2026-07-14,ve,81,81
2026-07-15,ve,81,86
2026-07-16,ve,67,82
2026-07-17,ve,73,84
2026-07-18,ve,75,84
2026-07-19,ve,76,83
2026-07-20,ve,83,78
2026-07-21,ve,79,80
2026-07-22,ve,81,82
2026-07-23,ve,80,83
2026-07-24,ve,84,83
2026-07-25,ve,71,85
2026-07-26,ve,71,87
2026-07-27,ve,74,84
2026-07-28,ve,97,71
2026-07-29,ve,84,84
2026-07-30,ve,72,83
2026-07-31,ve,74,83
2026-08-01,ve,74,85
2026-08-02,ve,88,84
2026-08-03,ve,93,85
2026-08-04,ve,75,83
2026-08-05,ve,70,81
2026-08-06,ve,73,82
2026-08-07,ve,66,83
2026-08-08,ve,59,86
2026-08-09,ve,68,85
2026-08-10,ve,69,81
2026-08-11,ve,83,77
2026-08-12,ve,69,81
2026-08-13,ve,71,87
2026-08-14,ve,70,85
2026-08-15,ve,70,85
2026-08-16,ve,69,84
2026-08-17,ve,67,84
2026-08-18,ve,69,85
2026-08-19,ve,71,85
2026-08-20,ve,66,84
2026-08-21,ve,70,85
2026-08-22,ve,72,86
2026-08-23,ve,65,86
2026-08-24,ve,76,84
2026-08-25,ve,73,85
2026-08-26,ve,70,86
2026-08-27,ve,79,83
2026-08-28,ve,78,84
2026-08-29,ve,75,85
2026-08-30,ve,79,87
2026-08-31,ve,83,85
2026-09-01,ve,81,78
2026-09-02,ve,78,78
2026-09-03,ve,73,84
2026-09-04,ve,72,84
2026-09-05,ve,70,86
2026-09-06,ve,71,86
2026-09-07,ve,67,81
2026-09-08,ve,76,86
2026-09-09,ve,64,84
2026-09-10,ve,66,86
2026-09-11,ve,67,85
2026-09-12,ve,63,87
2026-09-13,ve,76,82
2026-09-14,ve,82,83
2026-09-15,ve,77,80
2026-09-16,ve,70,79
2026-09-17,ve,62,84
2026-09-18,ve,63,85
2026-09-19,ve,64,84
2026-09-20,ve,71,81
2026-09-21,ve,72,83
2026-09-22,ve,71,85
